URL Path,Resolved Canonical,Self-Canonicalizing,Canonical Host,Foreign Domain,Status
"/tool/resize-a4","https://www.sarkaripixels.online/tool/resize-a4","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-cm","https://www.sarkaripixels.online/tool/resize-cm","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-image","https://www.sarkaripixels.online/tool/resize-image","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-pixel","https://www.sarkaripixels.online/tool/resize-pixel","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-sign-35-45","https://www.sarkaripixels.online/tool/resize-sign-35-45","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-sign-6-2","https://www.sarkaripixels.online/tool/resize-sign-6-2","Yes","www.sarkaripixels.online","No",200 OK
"/tool/resize-signature","https://www.sarkaripixels.online/tool/resize-signature","Yes","www.sarkaripixels.online","No",200 OK
"/tool/retouch","https://www.sarkaripixels.online/tool/retouch","Yes","www.sarkaripixels.online","No",200 OK
"/tool/rotate-image","https://www.sarkaripixels.online/tool/rotate-image","Yes","www.sarkaripixels.online","No",200 OK
"/tool/smart-resizer","https://www.sarkaripixels.online/tool/smart-resizer","Yes","www.sarkaripixels.online","No",200 OK
"/tool/split-image","https://www.sarkaripixels.online/tool/split-image","Yes","www.sarkaripixels.online","No",200 OK
"/tool/square-crop","https://www.sarkaripixels.online/tool/square-crop","Yes","www.sarkaripixels.online","No",200 OK
"/tool/ssc-photo","https://www.sarkaripixels.online/tool/ssc-photo","Yes","www.sarkaripixels.online","No",200 OK
"/tool/super-res","https://www.sarkaripixels.online/tool/super-res","Yes","www.sarkaripixels.online","No",200 OK
"/tool/unblur-face","https://www.sarkaripixels.online/tool/unblur-face","Yes","www.sarkaripixels.online","No",200 OK
"/tool/unblur","https://www.sarkaripixels.online/tool/unblur","Yes","www.sarkaripixels.online","No",200 OK
"/tool/upsc-photo-resize","https://www.sarkaripixels.online/tool/upsc-photo-resize","Yes","www.sarkaripixels.online","No",200 OK
"/tool/view-metadata","https://www.sarkaripixels.online/tool/view-metadata","Yes","www.sarkaripixels.online","No",200 OK
"/tool/watermark-image","https://www.sarkaripixels.online/tool/watermark-image","Yes","www.sarkaripixels.online","No",200 OK
